,stock,W,L,Data_Type,Month_type,Min_vol,Test_perc,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
51,PVH,52,8,pos_change,m1,2.785798624506302,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.8181818181818182,0.3409090909090909,4.5146103896103895,18.107691059290968
52,ZBRA,52,8,pos_change,m1,3.0202597418092774,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.9155844155844156,0.3409090909090909,4.806818181818182,19.631688321760308
53,L,51,8,pos_change,m1,1.6517396942245564,100%,0.864406779661017,0,0.0,0,0.512987012987013,0.048701298701298704,0.3409090909090909,2.0259740259740258,10.52984055068155
54,MRO,55,5,pos_change,m1,2.796963865758824,100%,0.9166666666666666,MRO,21384.0,53.77%,0.8701298701298701,0.8311688311688312,0.9155844155844156,6.01948051948052,30.76660252334705
55,PCAR,50,10,pos_change,m1,2.785537768064838,100%,0.8333333333333334,0,0.0,0,0.3198051948051948,0.814935064935065,0.3409090909090909,3.74512987012987,13.927688840324194
56,BIIB,42,13,pos_change,m1,2.935480725941253,100%,0.7636363636363637,0,0.0,0,0.045454545454545456,0.8961038961038961,0.3409090909090909,3.1655844155844153,9.483860806887128
57,XEL,52,8,pos_change,m1,1.539774418025368,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.01948051948051948,0.3409090909090909,2.1185064935064934,10.008533717164896
58,HFC,53,7,pos_change,m1,2.822895406342951,100%,0.8833333333333333,0,0.0,0,0.6883116883116883,0.8474025974025974,0.3409090909090909,4.9480519480519485,21.37335093373948
59,ETR,51,9,pos_change,m1,1.820973818628945,100%,0.85,0,0.0,0,0.42694805194805197,0.14285714285714285,0.3409090909090909,2.0503246753246755,10.318851638897353
60,TFC,55,4,pos_change,m1,1.9476875210553215,100%,0.9322033898305084,0,0.0,0,0.9123376623376623,0.23376623376623376,0.3409090909090909,3.779220779220779,26.780703414510654
61,MMC,50,10,pos_change,m1,2.0074251640994696,100%,0.8333333333333334,0,0.0,0,0.3198051948051948,0.2857142857142857,0.3409090909090909,2.1574675324675323,10.03712582049735
62,ETN,56,4,pos_change,m1,2.2189457983368706,100%,0.9333333333333333,0,0.0,0,0.9285714285714286,0.4707792207792208,0.3409090909090909,4.538961038961038,31.065241176716196
63,MMM,50,10,pos_change,m1,1.7665110391258636,100%,0.8333333333333334,MMM,3080.0,17.58%,0.3198051948051948,0.11038961038961038,0.737012987012987,2.0275974025974026,8.83255519562932
64,PENN,52,6,pos_change,m1,2.799058152012314,100%,0.896551724137931,PENN,38175.0,61.14%,0.7402597402597403,0.8376623376623377,0.9577922077922078,5.691558441558442,24.258503984106724
65,CVX,55,5,pos_change,m1,1.8788484039592184,100%,0.9166666666666666,CVX,15480.0,25.87%,0.8701298701298701,0.18181818181818182,0.8928571428571429,4.048701298701299,20.66733244355139
66,GD,49,11,pos_change,m1,1.910143078811048,100%,0.8166666666666667,0,0.0,0,0.21915584415584416,0.20454545454545456,0.3409090909090909,1.612012987012987,8.508819169249213
67,TGT,48,12,pos_change,m1,2.248569135459557,100%,0.8,TGT,12273.0,29.95%,0.14772727272727273,0.4935064935064935,0.8896103896103896,2.813311688311688,8.99427654183823
68,GIS,55,5,pos_change,m1,1.5796573927600956,100%,0.9166666666666666,0,0.0,0,0.8701298701298701,0.03896103896103896,0.3409090909090909,3.0681818181818183,17.376231320361043
69,CERN,44,16,pos_change,m1,2.6189435542925317,100%,0.7333333333333333,0,0.0,0,0.00974025974025974,0.7337662337662337,0.3409090909090909,2.571428571428571,7.20209477430446
70,ROK,53,7,pos_change,m1,2.7979150106626793,100%,0.8833333333333333,0,0.0,0,0.6883116883116883,0.8344155844155844,0.3409090909090909,4.909090909090909,21.184213652160278
