,stock,W,L,Data_Type,Month_type,Min_vol,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
99,COF,48,10,pos_change,m1,2.5067089820947626,0.8275862068965517,0,0.0,0,0.2639344262295082,0.6786885245901639,0.33934426229508197,3.167213114754098,12.03220311405486
100,AIG,53,5,pos_change,m1,2.01242011954298,0.9137931034482759,0,0.0,0,0.8344262295081967,0.2786885245901639,0.33934426229508197,3.6786885245901635,21.331653267155602
101,MOS,57,3,pos_change,m1,2.646952819125846,0.95,MOS,9925.0,44.51%,0.9639344262295082,0.7475409836065574,0.8655737704918033,6.0,50.29210356339103
102,GPC,51,9,pos_change,m1,1.808318532282255,0.85,0,0.0,0,0.4344262295081967,0.12459016393442623,0.33934426229508197,2.0163934426229506,10.247138349599444
103,WDC,51,9,pos_change,m1,2.950071701275378,0.85,WDC,3927.0,39.92%,0.4344262295081967,0.8950819672131147,0.7737704918032787,4.762295081967213,16.717072973893806
104,AMAT,51,8,pos_change,m1,3.1876891629032795,0.864406779661017,AMAT,24851.0,41.52%,0.519672131147541,0.9344262295081968,0.9245901639344263,5.286885245901639,20.321518413508414
105,ODFL,51,8,pos_change,m1,3.327225467005449,0.864406779661017,0,0.0,0,0.519672131147541,0.9573770491803278,0.33934426229508197,4.770491803278689,21.211062352159743
106,SHW,49,11,pos_change,m1,2.3404270622153653,0.8166666666666667,0,0.0,0,0.22459016393442624,0.5508196721311476,0.33934426229508197,2.665573770491804,10.425538731686625
107,NOC,54,6,pos_change,m1,2.343353226061193,0.9,NOC,2061.0,19.58%,0.7934426229508197,0.5573770491803278,0.6786885245901639,4.731147540983606,21.09017903455074
108,GL,50,8,pos_change,m1,2.1093336290066786,0.8620689655172413,0,0.0,0,0.4934426229508197,0.35737704918032787,0.33934426229508197,2.891803278688525,13.183335181291735
109,DRE,52,8,pos_change,m1,2.0490284315170366,0.8666666666666667,0,0.0,0,0.5754098360655737,0.31475409836065577,0.33934426229508197,3.0098360655737704,13.318684804860741
110,NWL,54,6,pos_change,m1,2.448998739061901,0.9,0,0.0,0,0.7934426229508197,0.6196721311475409,0.33934426229508197,4.578688524590165,22.040988651557118
111,DHR,46,14,pos_change,m1,2.1720952791869794,0.7666666666666667,0,0.0,0,0.06885245901639345,0.4262295081967213,0.33934426229508197,1.8245901639344262,7.13688448875722
112,WMT,51,9,pos_change,m1,1.7381235277938214,0.85,WMT,23652.0,23.68%,0.4344262295081967,0.09180327868852459,0.921311475409836,2.5,9.84936665749832
113,VZ,43,12,pos_change,m1,1.6141238186611544,0.7818181818181819,VZ,18055.0,14.61%,0.09344262295081968,0.03934426229508197,0.9016393442622951,1.3,5.783943683535805
114,CINF,52,8,pos_change,m1,1.7568099786278035,0.8666666666666667,0,0.0,0,0.5754098360655737,0.09836065573770492,0.33934426229508197,2.360655737704918,11.419264861080727
115,XLNX,45,15,pos_change,m1,2.7581481976203475,0.75,0,0.0,0,0.029508196721311476,0.7934426229508197,0.33934426229508197,2.808196721311476,8.274444592861043
116,NUE,50,8,pos_change,m1,2.6317333930817846,0.8620689655172413,NUE,8511.0,36.08%,0.4934426229508197,0.740983606557377,0.8426229508196721,4.545901639344263,16.448333706761147
117,MTB,56,1,pos_change,m1,1.856780995950102,0.9824561403508771,0,0.0,0,0.9967213114754099,0.15737704918032788,0.33934426229508197,3.801639344262295,103.97973577320539
118,FMC,54,6,pos_change,m1,2.351489843569508,0.9,0,0.0,0,0.7934426229508197,0.5639344262295082,0.33934426229508197,4.411475409836066,21.163408592125577
119,WM,46,14,pos_change,m1,1.7371830370646952,0.7666666666666667,0,0.0,0,0.06885245901639345,0.08852459016393442,0.33934426229508197,0.8114754098360656,5.707887121784001
120,IPG,58,2,pos_change,m1,2.4896962761546826,0.9666666666666667,0,0.0,0,0.9918032786885246,0.6655737704918033,0.33934426229508197,5.311475409836065,72.20119200848582
121,KEY,55,5,pos_change,m1,2.2019137228518884,0.9166666666666666,0,0.0,0,0.8704918032786885,0.4426229508196721,0.33934426229508197,4.278688524590164,24.221050951370756
122,LUMN,53,2,pos_change,m1,2.128243762970378,0.9636363636363636,LUMN,18954.0,35.17%,0.9754098360655737,0.380327868852459,0.9081967213114754,4.975409836065574,56.39845971871499
123,LHX,48,8,pos_change,m1,2.0943942998620466,0.8571428571428571,0,0.0,0,0.4786885245901639,0.3442622950819672,0.33934426229508197,2.808196721311475,12.566365799172274
124,REG,50,7,pos_change,m1,1.8620030660757914,0.8771929824561403,0,0.0,0,0.6295081967213115,0.16065573770491803,0.33934426229508197,2.7098360655737705,13.30002190054136
125,ABT,50,10,pos_change,m1,1.93980192509424,0.8333333333333334,ABT,3276.0,19.88%,0.32295081967213113,0.2098360655737705,0.7442622950819672,2.342622950819672,9.699009625471202
126,CMA,55,4,pos_change,m1,2.3000526939125554,0.9322033898305084,0,0.0,0,0.9131147540983606,0.5114754098360655,0.33934426229508197,4.61311475409836,31.62572454129762
127,CMS,51,6,pos_change,m1,1.7599022213955131,0.8947368421052632,0,0.0,0,0.7311475409836066,0.10163934426229508,0.33934426229508197,2.837704918032787,14.959168881861862
128,HON,42,15,pos_change,m1,2.0705689819531266,0.7368421052631579,HON,2112.0,18.87%,0.01639344262295082,0.3344262295081967,0.6852459016393443,1.737704918032787,5.797593149468754
129,CLX,50,8,pos_change,m1,1.8488417953249177,0.8620689655172413,CLX,2260.0,20.79%,0.4934426229508197,0.15081967213114755,0.7081967213114754,2.640983606557377,11.55526122078073
130,CVS,49,11,pos_change,m1,2.189812492663382,0.8166666666666667,CVS,36422.0,20.10%,0.22459016393442624,0.43278688524590164,0.9508196721311475,2.922950819672131,9.75461928550052
131,MLM,51,7,pos_change,m1,2.634598840450048,0.8793103448275862,0,0.0,0,0.639344262295082,0.7442622950819672,0.33934426229508197,4.49016393442623,19.194934408993202
132,NI,52,6,pos_change,m1,1.8630354419619655,0.896551724137931,0,0.0,0,0.740983606557377,0.16393442622950818,0.33934426229508197,3.054098360655738,16.14630716367037
133,SPG,53,7,pos_change,m1,2.132400696934759,0.8833333333333333,SPG,2314.0,36.09%,0.6885245901639344,0.3836065573770492,0.7180327868852459,3.9344262295081966,16.145319562506028
134,SNPS,53,7,pos_change,m1,2.506972901098671,0.8833333333333333,0,0.0,0,0.6885245901639344,0.6819672131147541,0.33934426229508197,4.450819672131148,18.981366251175647
135,KR,52,8,pos_change,m1,2.296399658804633,0.8666666666666667,KR,26424.0,22.19%,0.5754098360655737,0.5049180327868853,0.9344262295081968,4.175409836065574,14.92659778223012
136,VMC,57,3,pos_change,m1,2.360272459831454,0.95,0,0.0,0,0.9639344262295082,0.5770491803278689,0.33934426229508197,4.962295081967214,44.84517673679758
137,STE,46,14,pos_change,m1,2.3759242254794897,0.7666666666666667,0,0.0,0,0.06885245901639345,0.5836065573770491,0.33934426229508197,2.2967213114754097,7.806608169432611
138,NSC,47,8,pos_change,m1,2.4605538403770177,0.8545454545454545,0,0.0,0,0.4737704918032787,0.6360655737704918,0.33934426229508197,3.668852459016393,14.455753812214974
139,BWA,52,4,pos_change,m1,2.4023569283178547,0.9285714285714286,0,0.0,0,0.898360655737705,0.5934426229508196,0.33934426229508197,4.814754098360656,31.23064006813213
140,AAPL,50,9,pos_change,m1,2.8228214124010163,0.847457627118644,AAPL,749776.0,24.74%,0.38688524590163936,0.8360655737704918,1.0,4.668852459016393,15.68234118000564
141,SIVB,54,4,pos_change,m1,2.8218255453914662,0.9310344827586207,0,0.0,0,0.9065573770491804,0.8327868852459016,0.33934426229508197,5.557377049180328,38.094644862784776
142,PEAK,47,13,pos_change,m1,1.8553510100908241,0.7833333333333333,0,0.0,0,0.11147540983606558,0.1540983606557377,0.33934426229508197,1.1360655737704919,6.707807498020672
143,ITW,53,7,pos_change,m1,2.1139282356956426,0.8833333333333333,0,0.0,0,0.6885245901639344,0.3639344262295082,0.33934426229508197,3.49672131147541,16.005456641695574
144,SPGI,46,14,pos_change,m1,2.2239906843666395,0.7666666666666667,0,0.0,0,0.06885245901639345,0.46229508196721314,0.33934426229508197,1.9327868852459018,7.3073979629189605
145,DUK,50,10,pos_change,m1,1.5480177834199929,0.8333333333333334,0,0.0,0,0.32295081967213113,0.019672131147540985,0.33934426229508197,1.3672131147540982,7.740088917099966
146,LEN,48,11,pos_change,m1,3.0036451304895153,0.8135593220338984,0,0.0,0,0.1918032786885246,0.9016393442622951,0.33934426229508197,3.6196721311475413,13.106815114863345
